scan_id	subject	session	run	protocol_id	mask_file_present	mask_voxels	voxel_volume_mm3	brain_volume_mm3	brain_fraction
sub-030_ses-02_run-02_dwi	sub-030	ses-02	run-02	Protocol A	True	1145508.0	5.0	5727540.0	0.7889173553719008
sub-030_ses-02_run-05_dwi	sub-030	ses-02	run-05	Protocol B	True	191344.0	3.4409373737871642	658402.7208499311	0.23357421875
sub-031_ses-01_run-01_dwi	sub-031	ses-01	run-01	Protocol A	True	239319.0	5.0	1196595.0	0.1648202479338843
sub-031_ses-01_run-02_dwi	sub-031	ses-01	run-02	Protocol A	True	1162179.0	5.0	5810895.0	0.8003987603305786
sub-031_ses-01_run-05_dwi	sub-031	ses-01	run-05	Protocol B	True	173660.0	3.440937599167228	597553.2234713809	0.2119873046875
sub-031_ses-02_run-01_dwi	sub-031	ses-02	run-01	Protocol A	True	238677.0	5.0	1193385.0	0.1643780991735537
sub-031_ses-02_run-02_dwi	sub-031	ses-02	run-02	Protocol A	True	326720.0	5.0	1633600.0	0.2250137741046832
sub-031_ses-02_run-05_dwi	sub-031	ses-02	run-05	Protocol B	True	200698.0	3.440937599167228	690589.2942776644	0.24499267578125
sub-032_ses-01_run-01_dwi	sub-032	ses-01	run-01	Protocol A	True	238403.0	5.0	1192015.0	0.1641893939393939
sub-032_ses-01_run-02_dwi	sub-032	ses-01	run-02	Protocol A	True	387851.0	5.0	1939255.0	0.2671150137741047
sub-032_ses-01_run-05_dwi	sub-032	ses-01	run-05	Protocol B	True	154538.0	3.4409373737871642	531755.5798703207	0.18864501953125
sub-033_ses-01_run-01_dwi	sub-033	ses-01	run-01	Protocol D	True	260590.0	5.0	1302950.0	0.1794696969696969
sub-033_ses-01_run-02_dwi	sub-033	ses-01	run-02	Protocol D	True	994005.0	5.0	4970025.0	0.6845764462809918
sub-034_ses-01_run-01_dwi	sub-034	ses-01	run-01	Protocol A	True	268001.0	5.0	1340005.0	0.1845736914600551
sub-034_ses-01_run-02_dwi	sub-034	ses-01	run-02	Protocol A	True	484187.0	5.0	2420935.0	0.3334621212121212
sub-034_ses-01_run-05_dwi	sub-034	ses-01	run-05	Protocol B	True	147891.0	3.440937599167228	508883.70247844054	0.180531005859375
sub-034_ses-02_run-01_dwi	sub-034	ses-02	run-01	Protocol A	True	276596.0	5.0	1382980.0	0.1904931129476584
sub-034_ses-02_run-02_dwi	sub-034	ses-02	run-02	Protocol A	True	1198462.0	5.0	5992310.0	0.8253870523415978
sub-034_ses-02_run-05_dwi	sub-034	ses-02	run-05	Protocol B	True	169636.0	3.4409373737871642	583706.8523397594	0.2070751953125
sub-035_ses-01_run-01_dwi	sub-035	ses-01	run-01	Protocol A	True	256913.0	5.0	1284565.0	0.1769373278236914
sub-035_ses-01_run-02_dwi	sub-035	ses-01	run-02	Protocol A	True	1249246.0	5.0	6246230.0	0.8603622589531681
sub-035_ses-01_run-05_dwi	sub-035	ses-01	run-05	Protocol B	True	138268.0	3.440937599167228	475771.5599616543	0.1687841796875
sub-035_ses-02_run-01_dwi	sub-035	ses-02	run-01	Protocol A	True	264934.0	5.0	1324670.0	0.182461432506887
sub-035_ses-02_run-02_dwi	sub-035	ses-02	run-02	Protocol A	True	230808.0	5.0	1154040.0	0.1589586776859504
sub-035_ses-02_run-05_dwi	sub-035	ses-02	run-05	Protocol B	True	161283.0	3.440937599167228	554964.7388064881	0.196878662109375
sub-036_ses-01_run-01_dwi	sub-036	ses-01	run-01	Protocol A	True	259577.0	5.0	1297885.0	0.1787720385674931
sub-036_ses-01_run-02_dwi	sub-036	ses-01	run-02	Protocol A	True	1203921.0	5.0	6019605.0	0.8291466942148761
sub-036_ses-01_run-05_dwi	sub-036	ses-01	run-05	Protocol B	True	176009.0	3.4409373737871642	605635.946222905	0.214854736328125
sub-036_ses-02_run-01_dwi	sub-036	ses-02	run-01	Protocol A	True	263380.0	5.0	1316900.0	0.1813911845730027
sub-036_ses-02_run-02_dwi	sub-036	ses-02	run-02	Protocol A	True	387360.0	5.0	1936800.0	0.2667768595041322
sub-036_ses-02_run-05_dwi	sub-036	ses-02	run-05	Protocol B	True	216530.0	3.440937599167228	745066.2183476799	0.26431884765625
sub-037_ses-01_run-01_dwi	sub-037	ses-01	run-01	Protocol A	True	274828.0	5.0	1374140.0	0.1892754820936639
sub-037_ses-01_run-02_dwi	sub-037	ses-01	run-02	Protocol A	True	465703.0	5.0	2328515.0	0.3207320936639118
sub-037_ses-01_run-05_dwi	sub-037	ses-01	run-05	Protocol B	True	214906.0	3.440937599167228	739478.1356866324	0.26233642578125
sub-038_ses-01_run-01_dwi	sub-038	ses-01	run-01	Protocol A	True	258944.0	5.0	1294720.0	0.1783360881542699
sub-038_ses-01_run-02_dwi	sub-038	ses-01	run-02	Protocol A	True	1216057.0	5.0	6080285.0	0.8375048209366391
