subject	session	mask_voxels	brain_fraction
sub-029	ses-01	452268.0	0.3114793388429752
sub-029	ses-01	185257.0	0.226143798828125
sub-029	ses-02	254727.0	0.1754318181818182
sub-029	ses-02	1210080.0	0.8333884297520661
sub-029	ses-02	178619.0	0.218040771484375
sub-030	ses-01	235219.0	0.1619965564738292
sub-030	ses-01	260595.0	0.1794731404958677
sub-030	ses-01	143860.0	0.1756103515625
sub-030	ses-02	234049.0	0.1611907713498622
sub-030	ses-02	1145508.0	0.7889173553719008
sub-030	ses-02	191344.0	0.23357421875
sub-031	ses-01	239319.0	0.1648202479338843
sub-031	ses-01	1162179.0	0.8003987603305786
sub-031	ses-01	173660.0	0.2119873046875
sub-031	ses-02	238677.0	0.1643780991735537
sub-031	ses-02	326720.0	0.2250137741046832
sub-031	ses-02	200698.0	0.24499267578125
sub-032	ses-01	238403.0	0.1641893939393939
sub-032	ses-01	387851.0	0.2671150137741047
sub-032	ses-01	154538.0	0.18864501953125
sub-033	ses-01	260590.0	0.1794696969696969
sub-033	ses-01	994005.0	0.6845764462809918
sub-034	ses-01	268001.0	0.1845736914600551
sub-034	ses-01	484187.0	0.3334621212121212
sub-034	ses-01	147891.0	0.180531005859375
sub-034	ses-02	276596.0	0.1904931129476584
sub-034	ses-02	1198462.0	0.8253870523415978
sub-034	ses-02	169636.0	0.2070751953125
sub-035	ses-01	256913.0	0.1769373278236914
sub-035	ses-01	1249246.0	0.8603622589531681
sub-035	ses-01	138268.0	0.1687841796875
sub-035	ses-02	264934.0	0.182461432506887
sub-035	ses-02	230808.0	0.1589586776859504
sub-035	ses-02	161283.0	0.196878662109375
sub-036	ses-01	259577.0	0.1787720385674931
sub-036	ses-01	1203921.0	0.8291466942148761
sub-036	ses-01	176009.0	0.214854736328125
sub-036	ses-02	263380.0	0.1813911845730027
sub-036	ses-02	387360.0	0.2667768595041322
sub-036	ses-02	216530.0	0.26431884765625
sub-037	ses-01	274828.0	0.1892754820936639
sub-037	ses-01	465703.0	0.3207320936639118
sub-037	ses-01	214906.0	0.26233642578125
sub-038	ses-01	258944.0	0.1783360881542699
sub-038	ses-01	1216057.0	0.8375048209366391
sub-038	ses-01	197903.0	0.241580810546875
sub-038	ses-02	248801.0	0.1713505509641873
sub-038	ses-02	1070538.0	0.7372851239669421
sub-038	ses-02	212252.0	0.2590966796875
sub-039	ses-01	273877.0	0.1886205234159779
sub-039	ses-01	581980.0	0.4008126721763085
sub-039	ses-01	177179.0	0.216282958984375
sub-039	ses-02	281245.0	0.1936949035812672
sub-039	ses-02	587127.0	0.4043574380165289
