subject	session	mean_signal	median_signal	std_signal	mean_b0_signal	mean_diffusion_signal
sub-054	ses-02	244.2440948486328	214.0	143.47280883789062	430.9110412597656	176.36520385742188
sub-056	ses-01	106.4318618774414	89.0	89.5568618774414	340.11114501953125	93.62753295898438
sub-056	ses-01	243.2823944091797	211.0	149.36358642578125	434.62994384765625	173.7014923095703
sub-057	ses-01	100.8111801147461	86.0	78.57780456542969	312.0799865722656	89.23480987548828
sub-057	ses-01	475.8576354980469	1334.0	2755.39794921875	2265.60205078125	377.7893981933594
sub-057	ses-01	285.1884765625	244.0	177.88230895996094	518.2687377929688	200.4320526123047
sub-058	ses-01	109.88355255126952	92.0	88.11727905273438	340.59326171875	97.2419204711914
sub-058	ses-01	783.1349487304688	1580.0	2466.903076171875	1857.20361328125	724.2818603515625
sub-058	ses-01	328.39019775390625	277.0	225.48394775390625	618.9614868164062	222.72789001464844
sub-059	ses-01	125.75235748291016	104.0	102.40113067626952	381.8689270019531	111.71857452392578
sub-059	ses-01	166.6339874267578	326.0	2293.71484375	287.3725891113281	160.01817321777344
sub-059	ses-01	317.70281982421875	274.0	199.6451110839844	575.3914794921875	223.9978485107422
sub-060	ses-01	112.26785278320312	93.0	88.43318176269531	339.87371826171875	99.79631042480467
sub-060	ses-01	626.1312255859375	1156.0	2333.947509765625	1356.9503173828125	586.08642578125
sub-060	ses-01	354.1307678222656	312.0	209.4497985839844	628.6785278320312	254.2952423095703
sub-061	ses-01	104.60774993896484	95.0	80.30191802978516	310.4234924316406	93.33016204833984
sub-061	ses-01	229.061752319336	198.0	144.2296600341797	413.50396728515625	161.9918212890625
sub-061	ses-01	224.7965850830078	191.0	140.40550231933594	404.5171203613281	159.44371032714844
sub-062	ses-01	224.33018493652344	193.0	138.60562133789062	401.947021484375	159.74224853515625
