original_identifier	normalized_identifier	source_file	number_of_matches	confidence
SUBG10	SUBG010	session_mapping.csv:canonical_subject_id	150	HIGH
SUBG10_Session01_2024SEP13	SUBG10_Session01_2024SEP13	session_mapping.csv:source_subject_folder	75	LOW
SUBG11	SUBG011	session_mapping.csv:canonical_subject_id	150	HIGH
SUBG11_Session01_2024OCT06	SUBG11_Session01_2024OCT06	session_mapping.csv:source_subject_folder	75	LOW
SUBG12	SUBG012	session_mapping.csv:canonical_subject_id	150	HIGH
SUBG12_Session01_2024NOV20	SUBG12_Session01_2024NOV20	session_mapping.csv:source_subject_folder	75	LOW
SUBG13	SUBG013	session_mapping.csv:canonical_subject_id	204	HIGH
SUBG13-Session1-2024NOV25	SUBG13-Session1-2024NOV25	session_mapping.csv:source_subject_folder	75	LOW
SUBG13_SESSION02_2025MAY22	SUBG13_SESSION02_2025MAY22	session_mapping.csv:source_subject_folder	27	LOW
SUBG14	SUBG014	session_mapping.csv:canonical_subject_id	150	HIGH
SUBG14_Session01_2024DEC01	SUBG14_Session01_2024DEC01	session_mapping.csv:source_subject_folder	75	LOW
SUBG15	SUBG015	session_mapping.csv:canonical_subject_id	150	HIGH
SUBG15_Session01_2024DEC08	SUBG15_Session01_2024DEC08	session_mapping.csv:source_subject_folder	75	LOW
SUBG16	SUBG016	session_mapping.csv:canonical_subject_id	266	HIGH
SUBG16_SESSION02_2025AUG17	SUBG16_SESSION02_2025AUG17	session_mapping.csv:source_subject_folder	58	LOW
SUBG16_Session01_2024DEC14	SUBG16_Session01_2024DEC14	session_mapping.csv:source_subject_folder	75	LOW
SUBG17	SUBG017	session_mapping.csv:canonical_subject_id	160	HIGH
SUBG17_Session01_2025FEB06	SUBG17_Session01_2025FEB06	session_mapping.csv:source_subject_folder	80	LOW
SUBG18	SUBG018	session_mapping.csv:canonical_subject_id	162	HIGH
SUBG18_SESSION01_2025MAR14	SUBG18_SESSION01_2025MAR14	session_mapping.csv:source_subject_folder	81	LOW
SUBG19	SUBG019	session_mapping.csv:canonical_subject_id	150	HIGH
SUBG19_Session1-2025Mar30	SUBG19_Session1-2025Mar30	session_mapping.csv:source_subject_folder	75	LOW
SUBON001	SUBON001	May-28-2024_ 4-11-02_PM  The Right Eye is _ eye =1 .mat	121	HIGH
SUBON002	SUBON002	GreenLevel.mat	59	HIGH
SUBON003	SUBON003	GreenLevel.mat	60	HIGH
SUBON004	SUBON004	GreenLevel.mat	67	HIGH
SUBON006	SUBON006	August-13-2025_ 3-08-50_PM  The Right Eye is _ eye =1 .mat	69	HIGH
SUBON007	SUBON007	August-15-2025_ 3-57-01_PM  The Right Eye is _ eye =1 .mat	63	HIGH
SUBON008	SUBON008	SUNON08-Session1-2025Aug18.puls	2	HIGH
SUBON01	SUBON001	session_mapping.csv:canonical_subject_id	300	HIGH
SUBON01_Session01_2024MAY28	SUBON01_Session01_2024MAY28	session_mapping.csv:source_subject_folder	75	LOW
SUBON02	SUBON002	session_mapping.csv:canonical_subject_id	150	HIGH
SUBON03	SUBON003	session_mapping.csv:canonical_subject_id	150	HIGH
SUBON04	SUBON004	session_mapping.csv:canonical_subject_id	160	HIGH
SUBON04-Session1-2025MAY17	SUBON04-Session1-2025MAY17	session_mapping.csv:source_subject_folder	80	LOW
SUBON06	SUBON006	session_mapping.csv:canonical_subject_id	136	HIGH
SUBON06_Session01_2025AUG13	SUBON06_Session01_2025AUG13	session_mapping.csv:source_subject_folder	68	LOW
SUBON07	SUBON007	session_mapping.csv:canonical_subject_id	116	HIGH
SUBON07_Session01_2025AUG15	SUBON07_Session01_2025AUG15	session_mapping.csv:source_subject_folder	58	LOW
SUBON08	SUBON008	session_mapping.csv:canonical_subject_id	74	HIGH
SUBON08-Session1-2025AUG18	SUBON08-Session1-2025AUG18	session_mapping.csv:source_subject_folder	37	LOW
SUBON1_Session02_12DEC2024	SUBON1_Session02_12DEC2024	session_mapping.csv:source_subject_folder	75	LOW
SUBON2_Session01_26FEB2025	SUBON2_Session01_26FEB2025	session_mapping.csv:source_subject_folder	75	LOW
SUBON3_Session01_03MAY2025	SUBON3_Session01_03MAY2025	session_mapping.csv:source_subject_folder	75	LOW
SUBT01_Session02_2024JUN01	SUBT01_Session02_2024JUN01	session_mapping.csv:source_subject_folder	74	LOW
SUBT01_Session1_2023NOV25	SUBT01_Session1_2023NOV25	session_mapping.csv:source_subject_folder	75	LOW
SUBTON001	SUBTON001	June-01-2024_ 1-57-49_PM  The Right Eye is _ eye =1 .mat	124	HIGH
SUBTON002	SUBTON002	GreenLevel.mat	60	HIGH
SUBTON01	SUBTON001	session_mapping.csv:canonical_subject_id	298	HIGH
SUBTON02	SUBTON002	session_mapping.csv:canonical_subject_id	152	HIGH
SUBTON02-session1-2025MAR07	SUBTON02-session1-2025MAR07	session_mapping.csv:source_subject_folder	76	LOW
